id,source,job_title,company,location,country_code,country_name,salary_min,salary_max,currency,skills,skills_count,dataset_origin,collected_at
glassdoor_europe_17,glassdoor_europe,Data Analyst,Zalando,"Capital, Belgium",BE,Belgium,111513,133815,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_18,glassdoor_europe,Staff Engineer,Skype,"City, Spain",ES,Spain,36916,44299,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_19,glassdoor_europe,Data Scientist,Klarna,"City, Switzerland",CH,Switzerland,163674,196408,EUR,Machine Learning;SQL;Python,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_20,glassdoor_europe,Staff Engineer,Booking.com,"City, Italy",IT,Italy,69247,83096,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_21,glassdoor_europe,Machine Learning Engineer,Ericsson,"Capital, Norway",NO,Norway,97973,117567,EUR,MLflow;Python;TensorFlow,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_22,glassdoor_europe,Backend Developer,Skype,"City, Switzerland",CH,Switzerland,152029,182434,EUR,Python;Java;Redis,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_23,glassdoor_europe,Product Manager,Zalando,"Capital, Germany",DE,Germany,109516,131419,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_24,glassdoor_europe,Site Reliability Engineer,Siemens,"City, Sweden",SE,Sweden,66712,80054,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_25,glassdoor_europe,DevOps Engineer,King Digital Entertainment,"Capital, France",FR,France,40318,48381,EUR,Docker;Kubernetes;Linux,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_26,glassdoor_europe,Technical Lead,Wise,"City, Spain",ES,Spain,46506,55807,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_27,glassdoor_europe,Technical Lead,Nokia,"Capital, Spain",ES,Spain,90747,108896,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_28,glassdoor_europe,Data Scientist,Criteo,"City, Italy",IT,Italy,66318,79581,EUR,R;SQL;TensorFlow,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_29,glassdoor_europe,Data Analyst,Amadeus,"City, Austria",AT,Austria,42140,50568,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_30,glassdoor_europe,Technical Lead,Klarna,"Capital, Denmark",DK,Denmark,66858,80229,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_31,glassdoor_europe,Data Analyst,Nokia,"Capital, Norway",NO,Norway,70716,84859,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_32,glassdoor_europe,Site Reliability Engineer,SAP,"City, Netherlands",NL,Netherlands,70860,85032,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_33,glassdoor_europe,Data Engineer,Booking.com,"Capital, Germany",DE,Germany,126207,151448,EUR,Airflow;Python;SQL,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_34,glassdoor_europe,Machine Learning Engineer,N26,"City, Norway",NO,Norway,119960,143952,EUR,MLflow;PyTorch;TensorFlow,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_35,glassdoor_europe,Machine Learning Engineer,Revolut,"City, Germany",DE,Germany,108678,130413,EUR,PyTorch;MLflow;Docker,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_36,glassdoor_europe,Machine Learning Engineer,Supercell,"Capital, Netherlands",NL,Netherlands,126882,152258,EUR,Docker;PyTorch;Python,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_37,glassdoor_europe,Site Reliability Engineer,Klarna,"Capital, Switzerland",CH,Switzerland,110750,132900,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_38,glassdoor_europe,Site Reliability Engineer,ARM,"City, Norway",NO,Norway,88448,106137,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_39,glassdoor_europe,Product Manager,Skype,"Capital, Netherlands",NL,Netherlands,55826,66991,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_40,glassdoor_europe,DevOps Engineer,Philips,"City, Spain",ES,Spain,99580,119496,EUR,Jenkins;Kubernetes;Docker,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_41,glassdoor_europe,Product Manager,Spotify,"Capital, Spain",ES,Spain,42113,50535,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_42,glassdoor_europe,Data Engineer,Wise,"Capital, Norway",NO,Norway,60168,72201,EUR,SQL;Spark;Kafka,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_43,glassdoor_europe,Technical Lead,Ericsson,"City, Norway",NO,Norway,48241,57889,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_44,glassdoor_europe,Frontend Developer,Revolut,"Capital, Netherlands",NL,Netherlands,100722,120866,EUR,Vue.js;JavaScript;CSS,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_45,glassdoor_europe,Software Engineer,Revolut,"Capital, Germany",DE,Germany,102945,123534,EUR,React;JavaScript;Docker,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_46,glassdoor_europe,Data Engineer,Philips,"City, Switzerland",CH,Switzerland,141924,170308,EUR,SQL;Spark;Kafka,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_47,glassdoor_europe,Product Manager,Criteo,"Capital, Sweden",SE,Sweden,106136,127363,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_48,glassdoor_europe,Product Manager,Dassault Systemes,"Capital, United Kingdom",GB,United Kingdom,63252,75902,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_49,glassdoor_europe,Data Analyst,Ericsson,"Capital, Sweden",SE,Sweden,99021,118825,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_50,glassdoor_europe,Frontend Developer,Klarna,"Capital, Norway",NO,Norway,122318,146781,EUR,Vue.js;React;HTML,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_51,glassdoor_europe,Backend Developer,Nokia,"City, Spain",ES,Spain,68929,82714,EUR,Python;Java;Redis,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_52,glassdoor_europe,DevOps Engineer,Ericsson,"Capital, United Kingdom",GB,United Kingdom,108302,129962,EUR,Linux;Kubernetes;Docker,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_53,glassdoor_europe,Machine Learning Engineer,Supercell,"City, Sweden",SE,Sweden,57526,69031,EUR,TensorFlow;MLflow;Docker,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_54,glassdoor_europe,Backend Developer,Zalando,"City, Spain",ES,Spain,69497,83396,EUR,Redis;PostgreSQL;Python,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_55,glassdoor_europe,Data Analyst,ASML,"Capital, United Kingdom",GB,United Kingdom,108300,129960,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_56,glassdoor_europe,Frontend Developer,Nokia,"City, Norway",NO,Norway,76216,91459,EUR,JavaScript;React;Vue.js,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_57,glassdoor_europe,Site Reliability Engineer,Philips,"City, Italy",IT,Italy,78268,93921,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_58,glassdoor_europe,DevOps Engineer,King Digital Entertainment,"City, Switzerland",CH,Switzerland,176277,211532,EUR,Docker;Jenkins;AWS,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_59,glassdoor_europe,DevOps Engineer,Booking.com,"City, Belgium",BE,Belgium,69288,83145,EUR,Linux;Jenkins;Kubernetes,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_60,glassdoor_europe,Data Engineer,Ericsson,"Capital, Belgium",BE,Belgium,73615,88338,EUR,Python;Spark;Airflow,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_61,glassdoor_europe,Machine Learning Engineer,Booking.com,"Capital, Denmark",DK,Denmark,59582,71498,EUR,Python;Docker;TensorFlow,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_62,glassdoor_europe,Full Stack Developer,Amadeus,"Capital, United Kingdom",GB,United Kingdom,84083,100899,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_63,glassdoor_europe,Data Scientist,King Digital Entertainment,"City, Austria",AT,Austria,98362,118034,EUR,Python;SQL;Machine Learning,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_64,glassdoor_europe,Frontend Developer,Klarna,"City, Italy",IT,Italy,55543,66651,EUR,Vue.js;CSS;HTML,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_65,glassdoor_europe,Backend Developer,ASML,"City, Germany",DE,Germany,95572,114686,EUR,Java;Python;Redis,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_66,glassdoor_europe,Full Stack Developer,OVH,"Capital, Spain",ES,Spain,35664,42796,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_67,glassdoor_europe,Backend Developer,ASML,"Capital, Netherlands",NL,Netherlands,112490,134988,EUR,Java;Node.js;Redis,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_68,glassdoor_europe,Frontend Developer,Skype,"City, Austria",AT,Austria,83460,100152,EUR,JavaScript;CSS;Vue.js,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_69,glassdoor_europe,Data Engineer,Adyen,"City, Denmark",DK,Denmark,99421,119305,EUR,Airflow;SQL;Spark,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_70,glassdoor_europe,Product Manager,Zalando,"City, Norway",NO,Norway,92506,111007,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_71,glassdoor_europe,Backend Developer,SAP,"City, Spain",ES,Spain,43371,52045,EUR,Redis;Node.js;Python,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_72,glassdoor_europe,Data Analyst,Booking.com,"City, Netherlands",NL,Netherlands,118425,142110,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_73,glassdoor_europe,Technical Lead,Revolut,"Capital, Germany",DE,Germany,81717,98060,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_74,glassdoor_europe,Backend Developer,Ericsson,"City, Norway",NO,Norway,101490,121788,EUR,PostgreSQL;Node.js;Python,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_75,glassdoor_europe,Software Engineer,DeepMind,"Capital, Sweden",SE,Sweden,50975,61170,EUR,Docker;React;JavaScript,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_76,glassdoor_europe,Principal Engineer,Ericsson,"Capital, France",FR,France,91678,110013,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_77,glassdoor_europe,Site Reliability Engineer,OVH,"Capital, Sweden",SE,Sweden,75877,91052,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_78,glassdoor_europe,Product Manager,OVH,"Capital, Netherlands",NL,Netherlands,69549,83458,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_79,glassdoor_europe,Data Scientist,Revolut,"Capital, Switzerland",CH,Switzerland,152023,182427,EUR,R;SQL;TensorFlow,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_80,glassdoor_europe,Technical Lead,Skype,"City, Germany",DE,Germany,72451,86941,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_81,glassdoor_europe,DevOps Engineer,Amadeus,"City, Sweden",SE,Sweden,101722,122066,EUR,Linux;AWS;Jenkins,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_82,glassdoor_europe,Full Stack Developer,DeepMind,"City, Italy",IT,Italy,62585,75102,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_83,glassdoor_europe,Principal Engineer,Revolut,"Capital, Germany",DE,Germany,115314,138376,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_84,glassdoor_europe,Full Stack Developer,Zalando,"City, Italy",IT,Italy,43112,51734,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_85,glassdoor_europe,Data Engineer,N26,"Capital, Sweden",SE,Sweden,97544,117052,EUR,Spark;Kafka;SQL,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_86,glassdoor_europe,Site Reliability Engineer,Philips,"Capital, Germany",DE,Germany,49188,59025,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_87,glassdoor_europe,Staff Engineer,Philips,"Capital, Spain",ES,Spain,41879,50254,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_88,glassdoor_europe,Data Engineer,Skype,"Capital, France",FR,France,55491,66589,EUR,Python;Kafka;SQL,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_89,glassdoor_europe,Data Analyst,Spotify,"Capital, Denmark",DK,Denmark,162687,195224,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_90,glassdoor_europe,Machine Learning Engineer,Revolut,"City, Spain",ES,Spain,97687,117224,EUR,PyTorch;Docker;TensorFlow,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_91,glassdoor_europe,Frontend Developer,N26,"City, Italy",IT,Italy,77286,92743,EUR,JavaScript;CSS;HTML,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_92,glassdoor_europe,Technical Lead,Nokia,"City, France",FR,France,38637,46364,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_93,glassdoor_europe,Technical Lead,ARM,"Capital, Belgium",BE,Belgium,52264,62716,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_94,glassdoor_europe,Product Manager,DeepMind,"Capital, Denmark",DK,Denmark,101631,121957,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_95,glassdoor_europe,Data Analyst,ASML,"Capital, Belgium",BE,Belgium,67747,81296,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_96,glassdoor_europe,Data Engineer,Ericsson,"City, United Kingdom",GB,United Kingdom,84133,100959,EUR,Python;Kafka;Spark,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_97,glassdoor_europe,Staff Engineer,Zalando,"Capital, Belgium",BE,Belgium,78589,94306,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_98,glassdoor_europe,Staff Engineer,Wise,"City, Spain",ES,Spain,90238,108285,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_99,glassdoor_europe,Machine Learning Engineer,Philips,"Capital, Belgium",BE,Belgium,87237,104684,EUR,Python;Docker;PyTorch,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_100,glassdoor_europe,Backend Developer,Adyen,"Capital, France",FR,France,105054,126064,EUR,Python;Java;Node.js,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_101,glassdoor_europe,Frontend Developer,Revolut,"City, Austria",AT,Austria,56274,67528,EUR,JavaScript;Vue.js;HTML,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_102,glassdoor_europe,Site Reliability Engineer,OVH,"City, United Kingdom",GB,United Kingdom,106966,128359,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_103,glassdoor_europe,Data Scientist,Nokia,"City, Italy",IT,Italy,37680,45216,EUR,Machine Learning;Python;SQL,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_104,glassdoor_europe,Backend Developer,Criteo,"Capital, Belgium",BE,Belgium,117540,141048,EUR,PostgreSQL;Node.js;Redis,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_105,glassdoor_europe,Product Manager,Criteo,"Capital, Netherlands",NL,Netherlands,119774,143728,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_106,glassdoor_europe,Data Engineer,Siemens,"City, Denmark",DK,Denmark,59388,71265,EUR,Python;Spark;SQL,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_107,glassdoor_europe,Staff Engineer,Skype,"Capital, Italy",IT,Italy,68488,82185,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_108,glassdoor_europe,Data Analyst,OVH,"City, Italy",IT,Italy,95782,114938,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_109,glassdoor_europe,Data Analyst,Philips,"Capital, Norway",NO,Norway,66552,79862,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_110,glassdoor_europe,Data Engineer,King Digital Entertainment,"City, Switzerland",CH,Switzerland,194920,233904,EUR,Airflow;Kafka;Spark,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_111,glassdoor_europe,Data Scientist,Amadeus,"City, France",FR,France,68656,82387,EUR,SQL;Python;TensorFlow,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_112,glassdoor_europe,Backend Developer,King Digital Entertainment,"Capital, Germany",DE,Germany,89998,107997,EUR,Node.js;Java;Redis,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_113,glassdoor_europe,DevOps Engineer,DeepMind,"Capital, Italy",IT,Italy,41753,50103,EUR,Jenkins;Docker;Kubernetes,3,european_market_data,2025-07-02T11:14:24.135399
glassdoor_europe_114,glassdoor_europe,Software Engineer,Skype,"Capital, Denmark",DK,Denmark,91446,109735,EUR,Docker;Python;JavaScript,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_115,glassdoor_europe,DevOps Engineer,SAP,"Capital, Italy",IT,Italy,37884,45460,EUR,Jenkins;Linux;AWS,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_116,glassdoor_europe,Data Analyst,ARM,"Capital, Switzerland",CH,Switzerland,209011,250813,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_117,glassdoor_europe,Frontend Developer,Nokia,"City, Denmark",DK,Denmark,75250,90300,EUR,Vue.js;HTML;CSS,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_118,glassdoor_europe,Data Engineer,DeepMind,"City, France",FR,France,104559,125470,EUR,Kafka;Airflow;Python,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_119,glassdoor_europe,Data Scientist,ARM,"Capital, Spain",ES,Spain,96546,115855,EUR,SQL;R;Python,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_120,glassdoor_europe,Frontend Developer,Booking.com,"Capital, Belgium",BE,Belgium,89137,106964,EUR,HTML;Vue.js;CSS,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_121,glassdoor_europe,Frontend Developer,Skype,"Capital, Austria",AT,Austria,85416,102499,EUR,CSS;HTML;React,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_122,glassdoor_europe,Data Scientist,Booking.com,"City, France",FR,France,99508,119409,EUR,SQL;Machine Learning;TensorFlow,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_123,glassdoor_europe,DevOps Engineer,Siemens,"Capital, France",FR,France,71952,86342,EUR,Linux;Jenkins;Docker,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_124,glassdoor_europe,Software Engineer,Amadeus,"Capital, Sweden",SE,Sweden,98131,117757,EUR,Python;Java;React,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_125,glassdoor_europe,Principal Engineer,DeepMind,"City, Netherlands",NL,Netherlands,134620,161544,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_126,glassdoor_europe,Principal Engineer,Spotify,"City, France",FR,France,56675,68010,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_127,glassdoor_europe,Technical Lead,King Digital Entertainment,"Capital, Netherlands",NL,Netherlands,82204,98644,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_128,glassdoor_europe,Data Analyst,Ericsson,"Capital, Austria",AT,Austria,90919,109102,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_129,glassdoor_europe,Data Scientist,Booking.com,"Capital, United Kingdom",GB,United Kingdom,89153,106983,EUR,TensorFlow;SQL;R,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_130,glassdoor_europe,Principal Engineer,Spotify,"City, Italy",IT,Italy,88825,106590,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_131,glassdoor_europe,Data Analyst,Skype,"Capital, Austria",AT,Austria,79028,94833,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_132,glassdoor_europe,DevOps Engineer,Klarna,"City, Belgium",BE,Belgium,107860,129432,EUR,Kubernetes;Jenkins;Docker,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_133,glassdoor_europe,Software Architect,SAP,"Capital, Netherlands",NL,Netherlands,82797,99356,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_134,glassdoor_europe,Product Manager,Zalando,"Capital, Italy",IT,Italy,74337,89204,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_135,glassdoor_europe,Backend Developer,Klarna,"City, Belgium",BE,Belgium,64016,76819,EUR,Java;PostgreSQL;Node.js,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_136,glassdoor_europe,Machine Learning Engineer,ASML,"Capital, Denmark",DK,Denmark,58534,70240,EUR,PyTorch;TensorFlow;Python,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_137,glassdoor_europe,Machine Learning Engineer,Ericsson,"City, Denmark",DK,Denmark,110562,132674,EUR,Python;PyTorch;Docker,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_138,glassdoor_europe,Data Engineer,Klarna,"City, Austria",AT,Austria,67781,81337,EUR,Kafka;SQL;Airflow,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_139,glassdoor_europe,Full Stack Developer,Skype,"Capital, Sweden",SE,Sweden,52056,62467,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_140,glassdoor_europe,Full Stack Developer,BlaBlaCar,"City, Austria",AT,Austria,103791,124549,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_141,glassdoor_europe,DevOps Engineer,Siemens,"City, Austria",AT,Austria,101934,122320,EUR,Linux;AWS;Jenkins,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_142,glassdoor_europe,Data Scientist,Dassault Systemes,"City, Austria",AT,Austria,77709,93250,EUR,Python;SQL;TensorFlow,3,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_143,glassdoor_europe,Product Manager,Zalando,"City, Germany",DE,Germany,109779,131734,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.136451
glassdoor_europe_144,glassdoor_europe,DevOps Engineer,Amadeus,"City, France",FR,France,134097,160916,EUR,Linux;Jenkins;Kubernetes,3,european_market_data,2025-07-02T11:14:24.136451
