keyword,country,timeframe,avg_interest,max_interest,min_interest,trend_direction,trend_strength,data_points,analysis_date,category
JavaScript programming,DE,today 12-m,2.13,39,0,increasing,4.54,53,2025-07-01,Programming Language
Java programming,DE,today 12-m,31.02,55,0,decreasing,13.92,53,2025-07-01,Programming Language
TypeScript programming,DE,today 12-m,0.09,3,0,increasing,0.38,53,2025-07-01,Programming Language
C# programming,DE,today 12-m,5.43,29,0,stable,0.38,53,2025-07-01,Programming Language
React framework,DE,today 12-m,28.47,100,0,decreasing,7.0,53,2025-07-01,Framework
Angular framework,DE,today 12-m,3.51,57,0,decreasing,9.69,53,2025-07-01,Framework
Vue.js framework,DE,today 12-m,1.42,75,0,stable,0.0,53,2025-07-01,Framework
Node.js programming,DE,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Framework
Django framework,DE,today 12-m,17.51,75,0,increasing,3.0,53,2025-07-01,Framework
Docker container,DE,today 12-m,53.13,61,34,stable,5.23,53,2025-07-01,DevOps/Cloud
Kubernetes,DE,today 12-m,86.72,100,40,decreasing,9.92,53,2025-07-01,DevOps/Cloud
AWS cloud,DE,today 12-m,12.25,16,6,stable,0.54,53,2025-07-01,DevOps/Cloud
Azure cloud,DE,today 12-m,9.92,14,5,decreasing,1.15,53,2025-07-01,DevOps/Cloud
DevOps,DE,today 12-m,55.38,70,21,stable,4.46,53,2025-07-01,DevOps/Cloud
Machine Learning,DE,today 12-m,84.36,100,56,stable,0.23,53,2025-07-01,AI/Data Science
Data Science,DE,today 12-m,62.77,74,37,stable,1.23,53,2025-07-01,AI/Data Science
Artificial Intelligence,DE,today 12-m,51.11,73,35,increasing,7.23,53,2025-07-01,Technology
TensorFlow,DE,today 12-m,25.49,36,15,decreasing,7.15,53,2025-07-01,AI/Data Science
PyTorch,DE,today 12-m,58.74,78,38,decreasing,9.0,53,2025-07-01,Technology
PostgreSQL,DE,today 12-m,47.66,58,20,stable,3.85,53,2025-07-01,Database
MongoDB,DE,today 12-m,33.45,42,19,decreasing,6.77,53,2025-07-01,Database
MySQL,DE,today 12-m,81.64,100,43,decreasing,20.69,53,2025-07-01,Database
Redis database,DE,today 12-m,0.08,2,0,stable,0.0,53,2025-07-01,Database
Elasticsearch,DE,today 12-m,15.17,21,6,decreasing,4.23,53,2025-07-01,Technology
Python programming,NL,today 12-m,47.17,100,0,decreasing,21.38,53,2025-07-01,Programming Language
JavaScript programming,NL,today 12-m,0.23,8,0,increasing,0.92,53,2025-07-01,Programming Language
Java programming,NL,today 12-m,4.96,70,0,decreasing,8.15,53,2025-07-01,Programming Language
TypeScript programming,NL,today 12-m,0.77,41,0,decreasing,3.15,53,2025-07-01,Programming Language
C# programming,NL,today 12-m,1.09,43,0,increasing,1.15,53,2025-07-01,Programming Language
React framework,NL,today 12-m,0.85,26,0,increasing,3.46,53,2025-07-01,Framework
Angular framework,NL,today 12-m,0.28,9,0,increasing,1.15,53,2025-07-01,Framework
Vue.js framework,NL,today 12-m,1.89,100,0,increasing,7.69,53,2025-07-01,Framework
Node.js programming,NL,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Framework
Django framework,NL,today 12-m,2.11,84,0,decreasing,4.31,53,2025-07-01,Framework
Docker container,NL,today 12-m,32.47,41,20,decreasing,3.38,53,2025-07-01,DevOps/Cloud
Kubernetes,NL,today 12-m,66.36,81,32,stable,6.69,53,2025-07-01,DevOps/Cloud
AWS cloud,NL,today 12-m,6.43,13,0,stable,0.31,53,2025-07-01,DevOps/Cloud
Azure cloud,NL,today 12-m,9.43,14,0,stable,0.69,53,2025-07-01,DevOps/Cloud
DevOps,NL,today 12-m,83.15,100,36,decreasing,11.08,53,2025-07-01,DevOps/Cloud
Machine Learning,NL,today 12-m,72.77,100,35,stable,3.08,53,2025-07-01,AI/Data Science
Data Science,NL,today 12-m,62.06,80,27,stable,4.08,53,2025-07-01,AI/Data Science
Artificial Intelligence,NL,today 12-m,54.02,73,33,stable,1.85,53,2025-07-01,Technology
TensorFlow,NL,today 12-m,15.32,24,8,stable,0.23,53,2025-07-01,AI/Data Science
PyTorch,NL,today 12-m,35.04,54,16,increasing,3.23,53,2025-07-01,Technology
PostgreSQL,NL,today 12-m,43.15,58,20,stable,3.38,53,2025-07-01,Database
MongoDB,NL,today 12-m,24.75,40,12,stable,1.92,53,2025-07-01,Database
MySQL,NL,today 12-m,80.77,100,49,decreasing,18.31,53,2025-07-01,Database
Redis database,NL,today 12-m,0.02,1,0,increasing,0.08,53,2025-07-01,Database
Elasticsearch,NL,today 12-m,15.57,22,7,decreasing,3.0,53,2025-07-01,Technology
React framework,GB,today 12-m,37.75,95,0,increasing,19.23,53,2025-07-01,Framework
Angular framework,GB,today 12-m,1.25,52,0,increasing,5.08,53,2025-07-01,Framework
Vue.js framework,GB,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Framework
Node.js programming,GB,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Framework
Django framework,GB,today 12-m,17.7,100,0,decreasing,13.69,53,2025-07-01,Framework
Machine Learning,GB,today 12-m,80.43,100,49,stable,2.69,53,2025-07-01,AI/Data Science
Data Science,GB,today 12-m,73.83,95,43,stable,0.23,53,2025-07-01,AI/Data Science
Artificial Intelligence,GB,today 12-m,57.23,74,42,increasing,8.85,53,2025-07-01,Technology
TensorFlow,GB,today 12-m,12.51,19,7,decreasing,3.54,53,2025-07-01,AI/Data Science
PyTorch,GB,today 12-m,28.4,38,15,decreasing,5.62,53,2025-07-01,Technology
PostgreSQL,GB,today 12-m,37.62,45,20,stable,3.08,53,2025-07-01,Database
MongoDB,GB,today 12-m,36.64,46,20,decreasing,8.31,53,2025-07-01,Database
MySQL,GB,today 12-m,79.58,100,43,decreasing,17.54,53,2025-07-01,Database
Redis database,GB,today 12-m,0.25,3,0,increasing,0.23,53,2025-07-01,Database
Elasticsearch,GB,today 12-m,15.0,22,5,decreasing,4.23,53,2025-07-01,Technology
Python programming,IT,today 12-m,30.83,100,0,decreasing,2.54,53,2025-07-01,Programming Language
JavaScript programming,IT,today 12-m,1.4,69,0,increasing,0.38,53,2025-07-01,Programming Language
Java programming,IT,today 12-m,1.49,42,0,decreasing,0.38,53,2025-07-01,Programming Language
TypeScript programming,IT,today 12-m,0.85,45,0,stable,0.0,53,2025-07-01,Programming Language
C# programming,IT,today 12-m,0.19,5,0,increasing,0.77,53,2025-07-01,Programming Language
React framework,IT,today 12-m,2.28,77,0,increasing,3.38,53,2025-07-01,Framework
Angular framework,IT,today 12-m,0.36,10,0,increasing,1.46,53,2025-07-01,Framework
Vue.js framework,IT,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Framework
Node.js programming,IT,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Framework
Django framework,IT,today 12-m,7.28,100,0,decreasing,10.31,53,2025-07-01,Framework
Docker container,IT,today 12-m,41.85,59,22,stable,3.85,53,2025-07-01,DevOps/Cloud
Kubernetes,IT,today 12-m,77.23,100,39,stable,0.08,53,2025-07-01,DevOps/Cloud
AWS cloud,IT,today 12-m,15.23,23,8,stable,0.15,53,2025-07-01,DevOps/Cloud
Azure cloud,IT,today 12-m,9.72,22,0,increasing,2.15,53,2025-07-01,DevOps/Cloud
DevOps,IT,today 12-m,53.02,70,17,stable,1.15,53,2025-07-01,DevOps/Cloud
Machine Learning,IT,today 12-m,79.26,100,43,increasing,12.23,53,2025-07-01,AI/Data Science
Data Science,IT,today 12-m,45.28,62,27,stable,0.69,53,2025-07-01,AI/Data Science
Artificial Intelligence,IT,today 12-m,70.36,95,41,increasing,14.31,53,2025-07-01,Technology
TensorFlow,IT,today 12-m,14.62,23,8,decreasing,3.08,53,2025-07-01,AI/Data Science
PyTorch,IT,today 12-m,27.26,40,16,decreasing,3.62,53,2025-07-01,Technology
PostgreSQL,IT,today 12-m,29.64,40,16,stable,0.69,53,2025-07-01,Database
MongoDB,IT,today 12-m,28.21,36,16,stable,0.31,53,2025-07-01,Database
MySQL,IT,today 12-m,78.45,100,44,decreasing,8.85,53,2025-07-01,Database
Redis database,IT,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Database
Elasticsearch,IT,today 12-m,8.53,12,0,decreasing,1.0,53,2025-07-01,Technology
